2016-08-03 15:22:09 status unpacked dash:arm64 0.5.7-4ubuntu1
2016-08-03 15:22:09 status unpacked dash:arm64 0.5.7-4ubuntu1
2016-08-03 15:22:09 install debconf:all <none> 1.5.51ubuntu2
2016-08-03 15:22:09 status half-installed debconf:all 1.5.51ubuntu2
2016-08-03 15:22:09 status unpacked debconf:all 1.5.51ubuntu2
2016-08-03 15:22:09 status unpacked debconf:all 1.5.51ubuntu2
2016-08-03 15:22:09 install debianutils:arm64 <none> 4.4
2016-08-03 15:22:09 status half-installed debianutils:arm64 4.4
2016-08-03 15:22:09 status unpacked debianutils:arm64 4.4
2016-08-03 15:22:09 status unpacked debianutils:arm64 4.4
2016-08-03 15:22:09 install diffutils:arm64 <none> 1:3.3-1
2016-08-03 15:22:09 status half-installed diffutils:arm64 1:3.3-1
2016-08-03 15:22:09 status unpacked diffutils:arm64 1:3.3-1
2016-08-03 15:22:09 status unpacked diffutils:arm64 1:3.3-1
2016-08-03 15:22:09 upgrade dpkg:arm64 1.17.5ubuntu5 1.17.5ubuntu5
2016-08-03 15:22:09 status half-configured dpkg:arm64 1.17.5ubuntu5
2016-08-03 15:22:09 status unpacked dpkg:arm64 1.17.5ubuntu5
2016-08-03 15:22:09 status half-installed dpkg:arm64 1.17.5ubuntu5
2016-08-03 15:22:09 status half-installed dpkg:arm64 1.17.5ubuntu5
2016-08-03 15:22:09 status unpacked dpkg:arm64 1.17.5ubuntu5
2016-08-03 15:22:09 status unpacked dpkg:arm64 1.17.5ubuntu5
2016-08-03 15:22:09 install e2fslibs:arm64 <none> 1.42.9-3ubuntu1
2016-08-03 15:22:09 status half-installed e2fslibs:arm64 1.42.9-3ubuntu1
2016-08-03 15:22:09 status unpacked e2fslibs:arm64 1.42.9-3ubuntu1
2016-08-03 15:22:09 status unpacked e2fslibs:arm64 1.42.9-3ubuntu1
2016-08-03 15:22:09 install e2fsprogs:arm64 <none> 1.42.9-3ubuntu1
2016-08-03 15:22:09 status half-installed e2fsprogs:arm64 1.42.9-3ubuntu1
2016-08-03 15:22:09 status unpacked e2fsprogs:arm64 1.42.9-3ubuntu1
2016-08-03 15:22:09 status unpacked e2fsprogs:arm64 1.42.9-3ubuntu1
2016-08-03 15:22:09 install findutils:arm64 <none> 4.4.2-7
2016-08-03 15:22:09 status half-installed findutils:arm64 4.4.2-7
2016-08-03 15:22:09 status unpacked findutils:arm64 4.4.2-7
2016-08-03 15:22:09 status unpacked findutils:arm64 4.4.2-7
2016-08-03 15:22:09 install gcc-4.9-base:arm64 <none> 4.9-20140406-0ubuntu1
2016-08-03 15:22:09 status half-installed gcc-4.9-base:arm64 4.9-20140406-0ubuntu1
2016-08-03 15:22:09 status unpacked gcc-4.9-base:arm64 4.9-20140406-0ubuntu1
2016-08-03 15:22:09 status unpacked gcc-4.9-base:arm64 4.9-20140406-0ubuntu1
2016-08-03 15:22:09 install grep:arm64 <none> 2.16-1
2016-08-03 15:22:09 status half-installed grep:arm64 2.16-1
2016-08-03 15:22:09 status unpacked grep:arm64 2.16-1
2016-08-03 15:22:09 status unpacked grep:arm64 2.16-1
2016-08-03 15:22:09 install gzip:arm64 <none> 1.6-3ubuntu1
2016-08-03 15:22:09 status half-installed gzip:arm64 1.6-3ubuntu1
2016-08-03 15:22:09 status unpacked gzip:arm64 1.6-3ubuntu1
2016-08-03 15:22:09 status unpacked gzip:arm64 1.6-3ubuntu1
2016-08-03 15:22:09 install hostname:arm64 <none> 3.15ubuntu1
2016-08-03 15:22:09 status half-installed hostname:arm64 3.15ubuntu1
2016-08-03 15:22:09 status unpacked hostname:arm64 3.15ubuntu1
2016-08-03 15:22:09 status unpacked hostname:arm64 3.15ubuntu1
2016-08-03 15:22:10 install ifupdown:arm64 <none> 0.7.47.2ubuntu4
2016-08-03 15:22:10 status half-installed ifupdown:arm64 0.7.47.2ubuntu4
2016-08-03 15:22:10 status unpacked ifupdown:arm64 0.7.47.2ubuntu4
